Date,PortfolioValue,Positions
2010-05-31,5000000.0,0
2010-06-01,5000000.0,0
2010-06-02,5000000.0,0
2010-06-03,5000000.0,0
2010-06-04,5000000.0,0
2010-06-07,5000000.0,0
2010-06-08,5000000.0,0
2010-06-09,4963187.5598552,2
2010-06-10,5015448.879855201,2
2010-06-11,5026096.5598552,2
2010-06-14,5061900.6798551995,2
2010-06-15,5082460.3998552,2
2010-06-16,5087650.519855199,2
2010-06-17,5100221.6798551995,2
2010-06-18,5102455.0798552,2
2010-06-21,5151744.7198552,2
2010-06-22,5133240.599855199,2
2010-06-23,5161224.9198552,2
2010-06-24,5162309.2398552,2
2010-06-25,5127821.1991192,3
2010-06-28,5169872.0391192,3
2010-06-29,5113504.3191192,3
2010-06-30,5136046.4791192,3
2010-07-01,5107280.1191192,3
2010-07-02,5106090.9191192,3
2010-07-05,5114095.006704399,4
2010-07-06,5154265.7067044,4
2010-07-07,5129662.1667044,4
2010-07-08,5169704.5167044,4
2010-07-09,5189453.4667044,4
2010-07-12,5204770.3067044,4
2010-07-13,5204346.496704399,4
2010-07-14,5183237.396704399,4
2010-07-15,5184140.756704399,4
2010-07-16,5211596.386704399,4
2010-07-19,5201974.766704399,4
2010-07-20,5185591.486704399,4
2010-07-21,5211859.8467044,4
2010-07-22,5235639.676704399,4
2010-07-23,5227478.5367044,4
2010-07-26,5201631.3367044,4
2010-07-27,5215238.0567044,4
2010-07-28,5213659.9867044,4
2010-07-29,5219065.106704399,4
2010-07-30,5204022.176704399,4
2010-08-02,5232036.1567044,4
2010-08-03,5236040.8667044,4
2010-08-04,5276069.6167044,4
2010-08-05,5263222.586704399,4
2010-08-06,5262852.3867044,4
2010-08-09,5305330.236704401,4
2010-08-10,5284671.0467044,4
2010-08-11,5264188.336704399,4
2010-08-12,5254880.8267044,4
2010-08-13,5289556.836704399,4
2010-08-16,5273831.786704401,4
2010-08-17,5275992.406704401,4
2010-08-18,5351266.9067044,4
2010-08-19,5399362.036704401,4
2010-08-20,5389552.1567044,4
2010-08-23,5411682.5967044,4
2010-08-24,5395977.2067044,4
2010-08-25,5345767.466704399,4
2010-08-26,5366633.4167044,4
2010-08-27,5317370.5967044,4
2010-08-30,5305291.236704401,4
2010-08-31,5303609.6667044,4
2010-09-01,5361635.976704401,4
2010-09-02,5382720.4567044005,4
2010-09-03,5408032.6367044,4
2010-09-06,5478877.3467044,4
2010-09-07,5505307.2267044,4
2010-09-08,5514984.766704401,4
2010-09-09,5513971.7367044,4
2010-09-13,5563047.3067044,4
2010-09-14,5569656.036704401,4
2010-09-15,5615285.0467044,4
2010-09-16,5569050.656704401,4
2010-09-17,5634760.1867044,4
2010-09-20,5703792.4967044,4
2010-09-21,5707551.5267044,4
2010-09-22,5692358.1667044,4
2010-09-23,5698349.756704399,4
2010-09-24,5767066.276704401,4
2010-09-27,5760634.4467044,4
2010-09-28,5758339.776704399,4
2010-09-29,5732208.7367044,4
2010-09-30,5739890.676704399,4
2010-10-01,5840719.5467044,4
2010-10-04,5864376.1767044,4
2010-10-05,5877699.086704399,4
2010-10-06,5927971.4567044,4
2010-10-07,5879309.826704401,4
2010-10-08,5854761.5767044,4
2010-10-11,5896688.2867044,4
2010-10-12,5867218.306704401,4
2010-10-13,5962890.4867044,4
2010-10-14,5936843.5867044,4
2010-10-15,5836420.9067044,4
2010-10-18,5834440.7367044,4
2010-10-19,5813596.616704401,4
2010-10-20,5798990.886704401,4
2010-10-21,5878420.596704399,4
2010-10-22,5878725.426704399,4
2010-10-25,5926503.5667044,4
2010-10-26,5917128.056704399,4
2010-10-27,5886760.196704399,4
2010-10-28,5857894.1167044,4
2010-10-29,5849893.426704399,4
2010-11-01,5919572.8067044,4
2010-11-02,5933449.1667043995,4
2010-11-03,5977054.5167044,4
2010-11-04,6045077.9067044,4
2010-11-05,6070287.576704401,4
2010-11-08,6051469.5967044,4
2010-11-09,6088866.8767043995,4
2010-11-10,6092664.936704401,4
2010-11-11,6028881.5567044,4
2010-11-12,5925148.9567044005,4
2010-11-15,5952720.8567044,4
2010-11-16,5844350.546704399,4
2010-11-18,5856677.1367044,4
2010-11-19,5766469.7667044,4
2010-11-22,5849529.636704399,4
2010-11-23,5802884.1267044,4
2010-11-24,5723694.2467044,4
2010-11-25,5647359.026704401,4
2010-11-26,5586906.536704401,4
2010-11-29,5646465.786704401,4
2010-11-30,5699854.726704401,4
2010-12-01,5797213.1567044,4
2010-12-02,5835997.5067044,4
2010-12-03,5799598.5867044,4
2010-12-06,5780409.7767044,4
2010-12-07,5743812.216704399,4
2010-12-08,5661408.8067044,4
2010-12-09,5513117.9567044,4
2010-12-10,5586646.6467044,4
2010-12-13,5656650.096704401,4
2010-12-14,5705707.6067044,4
2010-12-15,5649827.6067044,4
2010-12-16,5684726.3367044,4
2010-12-20,5711738.8067044,4
2010-12-21,5727979.1667044,4
2010-12-22,5715870.266704399,4
2010-12-23,5709489.0267044,4
2010-12-24,5731049.596704399,4
2010-12-27,5728950.9167044,4
2010-12-28,5733057.0967044,4
2010-12-29,5777509.4467044,4
2010-12-30,5814656.7467044,4
2010-12-31,5853855.3767043995,4
2011-01-03,5869439.5367044,4
2011-01-04,5862135.5667044,4
2011-01-05,5809429.9567044,4
2011-01-06,5765360.886704399,4
2011-01-07,5633208.3567044,4
2011-01-10,5514478.1767044,4
2011-01-11,5501567.516704399,4
2011-01-12,5583739.696704399,4
2011-01-13,5517940.306704399,4
2011-01-14,5444450.6867044,4
2011-01-17,5437745.756704401,4
2011-01-18,5493829.3567044,4
2011-01-19,5477652.336704399,4
2011-01-20,5500161.3267044,4
2011-01-21,5475421.1767044,4
2011-01-24,5508136.3967044,4
2011-01-25,5467493.5567044,4
2011-01-27,5389669.7367044,4
2011-01-28,5275380.796704399,4
2011-01-31,5291974.156704401,4
2011-02-01,5203144.7067044,4
2011-02-02,5201828.976704399,4
2011-02-03,5257892.8667044,4
2011-02-04,5167393.466704399,4
2011-02-07,5141231.2767044,4
2011-02-08,5059608.036704401,4
2011-02-09,4958005.3767043995,4
2011-02-10,4951640.8367044,4
2011-02-11,5040220.556704399,4
2011-02-14,5198500.0767044,4
2011-02-15,5228747.0267044,4
2011-02-16,5238613.5267044,4
2011-02-17,5286527.0267044,4
2011-02-18,5224841.3667044,4
2011-02-21,5260974.386704399,4
2011-02-22,5210901.6067044,4
2011-02-23,5187175.1867044,4
2011-02-24,5036301.016704399,4
2011-02-25,5048214.3567044,4
2011-02-28,5055133.9667044,4
2011-03-01,5206681.0867044,4
2011-03-03,5241805.496704399,4
2011-03-04,5246319.5267044,4
2011-03-07,5180269.266704399,4
2011-03-08,5229522.4967044,4
2011-03-09,5251076.4567044,4
2011-03-10,5233031.3967044,4
2011-03-11,5196100.8767043995,4
2011-03-14,5248239.3667044,4
2011-03-15,5171542.926704399,4
2011-03-16,5226754.6467044,4
2011-03-17,5198422.146704401,4
2011-03-18,5148575.9567044,4
2011-03-21,5137008.7767044,4
2011-03-22,5181287.1267043995,4
2011-03-23,5221396.4367044,4
2011-03-24,5254616.526704399,4
2011-03-25,5335607.1667043995,4
2011-03-28,5374786.0067044,4
2011-03-29,5408651.9667044,4
2011-03-30,5473146.636704401,4
2011-03-31,5507395.0567044,4
2011-04-01,5514735.4167043995,4
2011-04-04,5584321.0867044,4
2011-04-05,5621398.326704401,4
2011-04-06,5626523.856704401,4
2011-04-07,5624399.946704399,4
2011-04-08,5573729.6667044,4
2011-04-11,5531415.9267044,4
2011-04-13,5632357.8967044,4
2011-04-15,5589238.5267044,4
2011-04-18,5519823.3667044,4
2011-04-19,5520269.6267044,4
2011-04-20,5613359.096704401,4
2011-04-21,5613951.9667044,4
2011-04-25,5632541.8767043995,4
2011-04-26,5621935.846704399,4
2011-04-27,5603669.5367044,4
2011-04-28,5556809.056704399,4
2011-04-29,5520664.5967044,4
2011-05-02,5469684.1267043995,4
2011-05-03,5361277.046704399,4
2011-05-04,5327031.5367044,4
