Date,Roll_1Y,Roll_3Y,Roll_5Y
2010-06-01,,,
2010-06-02,,,
2010-06-03,,,
2010-06-04,,,
2010-06-07,,,
2010-06-08,,,
2010-06-09,,,
2010-06-10,,,
2010-06-11,,,
2010-06-14,,,
2010-06-15,,,
2010-06-16,,,
2010-06-17,,,
2010-06-18,,,
2010-06-21,,,
2010-06-22,,,
2010-06-23,,,
2010-06-24,,,
2010-06-25,,,
2010-06-28,,,
2010-06-29,,,
2010-06-30,,,
2010-07-01,,,
2010-07-02,,,
2010-07-05,,,
2010-07-06,,,
2010-07-07,,,
2010-07-08,,,
2010-07-09,,,
2010-07-12,,,
2010-07-13,,,
2010-07-14,,,
2010-07-15,,,
2010-07-16,,,
2010-07-19,,,
2010-07-20,,,
2010-07-21,,,
2010-07-22,,,
2010-07-23,,,
2010-07-26,,,
2010-07-27,,,
2010-07-28,,,
2010-07-29,,,
2010-07-30,,,
2010-08-02,,,
2010-08-03,,,
2010-08-04,,,
2010-08-05,,,
2010-08-06,,,
2010-08-09,,,
2010-08-10,,,
2010-08-11,,,
2010-08-12,,,
2010-08-13,,,
2010-08-16,,,
2010-08-17,,,
2010-08-18,,,
2010-08-19,,,
2010-08-20,,,
2010-08-23,,,
2010-08-24,,,
2010-08-25,,,
2010-08-26,,,
2010-08-27,,,
2010-08-30,,,
2010-08-31,,,
2010-09-01,,,
2010-09-02,,,
2010-09-03,,,
2010-09-06,,,
2010-09-07,,,
2010-09-08,,,
2010-09-09,,,
2010-09-13,,,
2010-09-14,,,
2010-09-15,,,
2010-09-16,,,
2010-09-17,,,
2010-09-20,,,
2010-09-21,,,
2010-09-22,,,
2010-09-23,,,
2010-09-24,,,
2010-09-27,,,
2010-09-28,,,
2010-09-29,,,
2010-09-30,,,
2010-10-01,,,
2010-10-04,,,
2010-10-05,,,
2010-10-06,,,
2010-10-07,,,
2010-10-08,,,
2010-10-11,,,
2010-10-12,,,
2010-10-13,,,
2010-10-14,,,
2010-10-15,,,
2010-10-18,,,
2010-10-19,,,
2010-10-20,,,
2010-10-21,,,
2010-10-22,,,
2010-10-25,,,
2010-10-26,,,
2010-10-27,,,
2010-10-28,,,
2010-10-29,,,
2010-11-01,,,
2010-11-02,,,
2010-11-03,,,
2010-11-04,,,
2010-11-05,,,
2010-11-08,,,
2010-11-09,,,
2010-11-10,,,
2010-11-11,,,
2010-11-12,,,
2010-11-15,,,
2010-11-16,,,
2010-11-18,,,
2010-11-19,,,
2010-11-22,,,
2010-11-23,,,
2010-11-24,,,
2010-11-25,,,
2010-11-26,,,
2010-11-29,,,
2010-11-30,,,
2010-12-01,,,
2010-12-02,,,
2010-12-03,,,
2010-12-06,,,
2010-12-07,,,
2010-12-08,,,
2010-12-09,,,
2010-12-10,,,
2010-12-13,,,
2010-12-14,,,
2010-12-15,,,
2010-12-16,,,
2010-12-20,,,
2010-12-21,,,
2010-12-22,,,
2010-12-23,,,
2010-12-24,,,
2010-12-27,,,
2010-12-28,,,
2010-12-29,,,
2010-12-30,,,
2010-12-31,,,
2011-01-03,,,
2011-01-04,,,
2011-01-05,,,
2011-01-06,,,
2011-01-07,,,
2011-01-10,,,
2011-01-11,,,
2011-01-12,,,
2011-01-13,,,
2011-01-14,,,
2011-01-17,,,
2011-01-18,,,
2011-01-19,,,
2011-01-20,,,
2011-01-21,,,
2011-01-24,,,
2011-01-25,,,
2011-01-27,,,
2011-01-28,,,
2011-01-31,,,
2011-02-01,,,
2011-02-02,,,
2011-02-03,,,
2011-02-04,,,
2011-02-07,,,
2011-02-08,,,
2011-02-09,,,
2011-02-10,,,
2011-02-11,,,
2011-02-14,,,
2011-02-15,,,
2011-02-16,,,
2011-02-17,,,
2011-02-18,,,
2011-02-21,,,
2011-02-22,,,
2011-02-23,,,
2011-02-24,,,
2011-02-25,,,
2011-02-28,,,
2011-03-01,,,
2011-03-03,,,
2011-03-04,,,
2011-03-07,,,
2011-03-08,,,
2011-03-09,,,
2011-03-10,,,
2011-03-11,,,
2011-03-14,,,
2011-03-15,,,
2011-03-16,,,
2011-03-17,,,
2011-03-18,,,
2011-03-21,,,
2011-03-22,,,
2011-03-23,,,
2011-03-24,,,
2011-03-25,,,
2011-03-28,,,
2011-03-29,,,
2011-03-30,,,
2011-03-31,,,
2011-04-01,,,
2011-04-04,,,
2011-04-05,,,
2011-04-06,,,
2011-04-07,,,
2011-04-08,,,
2011-04-11,,,
2011-04-13,,,
2011-04-15,,,
2011-04-18,,,
2011-04-19,,,
2011-04-20,,,
2011-04-21,,,
