Date,PortfolioValue,Positions
2010-05-31,5000000.0,0
2010-06-01,5000000.0,0
2010-06-02,5000000.0,0
2010-06-03,5000000.0,0
2010-06-04,5000000.0,0
2010-06-07,5000000.0,0
2010-06-08,5000000.0,0
2010-06-09,5000000.0,0
2010-06-10,5000000.0,0
2010-06-11,5000000.0,0
2010-06-14,5000000.0,0
2010-06-15,5000000.0,0
2010-06-16,5000000.0,0
2010-06-17,5000000.0,0
2010-06-18,5000000.0,0
2010-06-21,5000000.0,0
2010-06-22,5000000.0,0
2010-06-23,5000000.0,0
2010-06-24,5000000.0,0
2010-06-25,5000000.0,0
2010-06-28,5000000.0,0
2010-06-29,5000000.0,0
2010-06-30,5000000.0,0
2010-07-01,5000000.0,0
2010-07-02,5000000.0,0
2010-07-05,5000000.0,0
2010-07-06,5000000.0,0
2010-07-07,5000000.0,0
2010-07-08,5000000.0,0
2010-07-09,5000000.0,0
2010-07-12,5000000.0,0
2010-07-13,5000000.0,0
2010-07-14,5000000.0,0
2010-07-15,5000000.0,0
2010-07-16,5000000.0,0
2010-07-19,5000000.0,0
2010-07-20,5000000.0,0
2010-07-21,5000000.0,0
2010-07-22,5000000.0,0
2010-07-23,5000000.0,0
2010-07-26,4972486.062472,1
2010-07-27,4986636.462472,1
2010-07-28,4988316.822472,1
2010-07-29,5000904.7824719995,1
2010-07-30,4981035.262471999,1
2010-08-02,5010706.882472,1
2010-08-03,5019875.162471999,1
2010-08-04,5048072.7824719995,1
2010-08-05,5024547.7424719995,1
2010-08-06,5024370.862472,1
2010-08-09,5053290.7424719995,1
2010-08-10,5035455.342471999,1
2010-08-11,5023471.722471999,1
2010-08-12,5021982.982472,1
2010-08-13,5053939.302471999,1
2010-08-16,5044888.942472,1
2010-08-17,5054248.842471999,1
2010-08-18,5121183.182471999,1
2010-08-19,5168306.962472,1
2010-08-20,5165594.802471999,1
2010-08-23,5194234.622471999,1
2010-08-24,5186157.102472,1
2010-08-25,5135407.2824719995,1
2010-08-26,5148732.2424719995,1
2010-08-27,5112132.822472,1
2010-08-30,5095859.862472,1
2010-08-31,5116731.702471999,1
2010-09-01,5178875.542472,1
2010-09-02,5190063.202471999,1
2010-09-03,5218997.822472,1
2010-09-06,5276690.182471999,1
2010-09-07,5296220.682471999,1
2010-09-08,5298151.622471999,1
2010-09-09,5299050.762471999,1
2010-09-13,5343226.542472,1
2010-09-14,5351510.422472,1
2010-09-15,5385692.482472,1
2010-09-16,5341767.2824719995,1
2010-09-17,5394742.842471999,1
2010-09-20,5464610.442472,1
2010-09-21,5465288.482472,1
2010-09-22,5453437.522472,1
2010-09-23,5466791.962472,1
2010-09-24,5542585.042472,1
2010-09-27,5526931.162471999,1
2010-09-28,5520887.762471999,1
2010-09-29,5485850.7824719995,1
2010-09-30,5502536.462472,1
2010-10-01,5593040.062472,1
2010-10-04,5608251.7424719995,1
2010-10-05,5606320.802471999,1
2010-10-06,5640281.762471999,1
2010-10-07,5598479.122471999,1
2010-10-08,5593909.722471999,1
2010-10-11,5616727.2424719995,1
2010-10-12,5583798.082472,1
2010-10-13,5689012.202471999,1
2010-10-14,5636021.902472,1
2010-10-15,5547139.702471999,1
2010-10-18,5562145.022472,1
2010-10-19,5531957.502472,1
2010-10-20,5514859.102472,1
2010-10-21,5600734.342471999,1
2010-10-22,5589222.402472,1
2010-10-25,5620589.122471999,1
2010-10-26,5586790.302471999,1
2010-10-27,5530675.122471999,1
2010-10-28,5515507.662471999,1
2010-10-29,5513606.202471999,1
2010-11-01,5566906.042472,1
2010-11-02,5579508.7424719995,1
2010-11-03,5612113.622471999,1
2010-11-04,5692977.262471999,1
2010-11-05,5720482.102472,1
2010-11-08,5675790.422472,1
2010-11-09,5702366.642471999,1
2010-11-10,5685504.082472,1
2010-11-11,5612408.422472,1
2010-11-12,5534625.442472,1
2010-11-15,5567878.882472,1
2010-11-16,5467705.842471999,1
2010-11-18,5473366.002472,1
2010-11-19,5394521.7424719995,1
2010-11-22,5467661.622471999,1
2010-11-23,5414243.862472,1
2010-11-24,5341914.682471999,1
2010-11-25,5291724.982472,1
2010-11-26,5261360.582472,1
2010-11-29,5326732.482472,1
2010-11-30,5352041.062472,1
2010-12-01,5427996.2824719995,1
2010-12-02,5450165.2424719995,1
2010-12-03,5436928.722471999,1
2010-12-06,5435086.222471999,1
2010-12-07,5434850.382472,1
2010-12-08,5385854.622471999,1
2010-12-09,5281392.2424719995,1
2010-12-10,5345452.2824719995,1
2010-12-13,5407050.7424719995,1
2010-12-14,5434511.362472,1
2010-12-15,5392708.722471999,1
2010-12-16,5424974.582472,1
2010-12-20,5439714.582472,1
2010-12-21,5454336.662471999,1
2010-12-22,5427775.182471999,1
2010-12-23,5429499.762471999,1
2010-12-24,5456503.442472,1
2010-12-27,5456134.942472,1
2010-12-28,5466777.222471999,1
2010-12-29,5507238.522472,1
2010-12-30,5540624.622471999,1
2010-12-31,5561216.402472,1
2011-01-03,5571269.082472,1
2011-01-04,5582088.2424719995,1
2011-01-05,5544928.702471999,1
2011-01-06,5509272.642471999,1
2011-01-07,5406755.942472,1
2011-01-10,5282630.402472,1
2011-01-11,5273255.762471999,1
2011-01-12,5335311.162471999,1
2011-01-13,5264986.622471999,1
2011-01-14,5195900.2424719995,1
2011-01-17,5206409.862472,1
2011-01-18,5253489.422472,1
2011-01-19,5204346.262471999,1
2011-01-20,5220737.142471999,1
2011-01-21,5197875.402472,1
2011-01-24,5242449.162471999,1
2011-01-25,5212350.082472,1
2011-01-27,5133417.382472,1
2011-01-28,5046362.942472,1
2011-01-31,5058435.002472,1
2011-02-01,4992959.922472,1
2011-02-02,4984027.482472,1
2011-02-03,5036413.442472,1
2011-02-04,4939099.962472,1
2011-02-07,4920866.582472,1
2011-02-08,4851765.462472,1
2011-02-09,4791537.822472,1
2011-02-10,4764976.342471999,1
2011-02-11,4841182.142471999,1
2011-02-14,4962993.502472,1
2011-02-15,4979561.262471999,1
2011-02-16,4969022.162471999,1
2011-02-17,5011473.362472,1
2011-02-18,4958659.942472,1
2011-02-21,5002246.122471999,1
2011-02-22,4956227.842471999,1
2011-02-23,4928044.962472,1
2011-02-24,4813397.2424719995,1
2011-02-25,4820531.402472,1
2011-02-28,4836170.542472,1
2011-03-01,4975227.702471999,1
2011-03-03,5002039.762471999,1
2011-03-04,5005606.842471999,1
2011-03-07,4947280.662471999,1
2011-03-08,4982140.762471999,1
2011-03-09,4983113.602472,1
2011-03-10,4966413.182471999,1
2011-03-11,4934795.882472,1
2011-03-14,4995436.2424719995,1
2011-03-15,4926644.662471999,1
2011-03-16,4963524.142471999,1
2011-03-17,4928428.202471999,1
2011-03-18,4874524.022472,1
2011-03-21,4862717.2824719995,1
2011-03-22,4900613.822472,1
2011-03-23,4946808.982472,1
2011-03-24,4975448.802471999,1
2011-03-25,5082791.626104,0
2011-03-28,5082791.626104,0
2011-03-29,5082791.626104,0
2011-03-30,5082791.626104,0
2011-03-31,5082791.626104,0
2011-04-01,5082791.626104,0
2011-04-04,5082791.626104,0
2011-04-05,5082791.626104,0
2011-04-06,5082791.626104,0
2011-04-07,5082791.626104,0
2011-04-08,5082791.626104,0
2011-04-11,5082791.626104,0
2011-04-13,5082791.626104,0
2011-04-15,5082791.626104,0
2011-04-18,5082791.626104,0
2011-04-19,5082791.626104,0
2011-04-20,5082791.626104,0
2011-04-21,5082791.626104,0
2011-04-25,5082791.626104,0
2011-04-26,5082791.626104,0
2011-04-27,5082791.626104,0
2011-04-28,5082791.626104,0
2011-04-29,5146389.982830001,1
2011-05-02,5069216.39283,1
2011-05-03,4957788.1728300005,1
2011-05-04,4918779.20283,1
2011-05-05,4842216.14283,1
2011-05-06,4975441.582830001,1
2011-05-09,4982456.18283,1
2011-05-10,4981300.07283,1
2011-05-11,5020646.78283,1
2011-05-12,4959308.002830001,1
2011-05-13,5003149.252830001,1
2011-05-16,4954332.832830001,1
2011-05-17,4924962.442830001,1
2011-05-18,4897969.22283,1
