Date,Symbol,Side,Qty,ExecPrice
2010-07-27,N500LOWVOL 50,BUY,1474.0,3382.9
2011-03-28,N500LOWVOL 50,SELL,1474.0,3457.4
2011-05-02,N500MOM 50,BUY,1299.0,3899.45
2011-06-01,N500MOM 50,SELL,1299.0,3925.33
2012-05-07,N500MOM 50,BUY,1328.0,3821.3
2015-10-01,N500MOM 50,SELL,1328.0,10112.2
2015-11-02,N500LOWVOL 50,BUY,2274.0,5873.3
2018-11-05,N500LOWVOL 50,SELL,2274.0,7645.84
2019-03-26,N500Q 50,BUY,2283.0,7574.0
2019-05-08,N500VALUE 50,BUY,1.0,4324.46
2019-06-04,N500Q 50,SELL,2283.0,7544.75
2019-06-18,N500LOWVOL 50,BUY,2059.0,8319.58
2019-10-22,N500VALUE 50,SELL,1.0,3541.21
