Date,Symbol,Side,Qty,ExecPrice
1996-03-01,NSE500,BUY,7117.0,700.6575
1996-10-24,NSE500,SELL,7117.0,629.5
1997-05-26,NSE500,BUY,6513.0,684.1875
1998-02-27,NSE500,SELL,6513.0,653.34
1998-05-14,NSE500,BUY,5834.0,725.41
1998-09-25,NSE500,SELL,5834.0,636.9425
1999-04-06,NSE500,BUY,5196.0,711.4025
2000-06-20,NSE500,SELL,5196.0,1104.97
2001-12-20,NSE500,BUY,8150.0,700.6750000000001
2002-11-20,NSE500,SELL,8150.0,711.2625
2003-01-27,NSE500,BUY,7674.0,751.3
2003-05-06,NSE500,SELL,7674.0,715.4125
2003-07-22,NSE500,BUY,6196.0,881.3875
2007-03-23,NSE500,SELL,6196.0,3175.0499999999997
2007-06-07,N500VALUE 50,BUY,12636.0,1548.5449999999998
2008-04-21,N500VALUE 50,SELL,12636.0,1912.145
2009-06-19,NSE500,BUY,6989.0,3438.6875
2011-03-28,NSE500,SELL,6989.0,4506.475
2011-05-02,N500MOM 50,BUY,7973.0,3929.1549999999997
2011-06-01,N500MOM 50,SELL,7973.0,3916.26
2012-05-07,N500MOM 50,BUY,8176.0,3798.3050000000003
2012-05-09,N500Q 50,BUY,1.0,2834.6499999999996
2015-10-01,N500MOM 50,SELL,8176.0,10092.55
2015-10-01,N500Q 50,SELL,1.0,5980.16
2015-11-02,N500LOWVOL 50,BUY,13976.0,5872.67
2016-05-05,N500VALUE 50,BUY,1.0,3334.4950000000003
2018-11-05,N500LOWVOL 50,SELL,13976.0,7657.455
2019-02-25,N500VALUE 50,SELL,1.0,3999.6549999999997
2019-03-26,N500Q 50,BUY,14113.0,7542.8150000000005
2019-06-04,N500Q 50,SELL,14113.0,7576.6
2019-06-18,N500LOWVOL 50,BUY,12782.0,8320.49
